Title,Note,URL,Tags,Comment
Spiaggia di Capo San Marco,,https://www.google.com/maps/place/Spiaggia+di+Capo+San+Marco/data=!4m2!3m1!1s0x12dd7707a17c6f2d:0x81872af217ccf4e8,,
Parco della Giara - Genoni,,https://www.google.com/maps/place/Parco+della+Giara+-+Genoni/data=!4m2!3m1!1s0x12ddf18216ae65af:0xba091fe105076e9c,,
Pauli Salamengianu,,https://www.google.com/maps/place/Pauli+Salamengianu/data=!4m2!3m1!1s0x12ddf1a053da783d:0x1948a666f8e51c81,,
Altopiano della Giara di Gesturi,,https://www.google.com/maps/place/Altopiano+della+Giara+di+Gesturi/data=!4m2!3m1!1s0x12ddf1944b4598fb:0xc2a1ed08f74fae15,,
Spiaggia di Piscina Rei,,https://www.google.com/maps/place/Spiaggia+di+Piscina+Rei/data=!4m2!3m1!1s0x12e095205a78cba1:0x6b5c32c8cda5095a,,
Costa Rei,,https://www.google.com/maps/place/Costa+Rei/data=!4m2!3m1!1s0x12e0952148482047:0xe250938392dfa10a,,
Piscina Rei,,https://www.google.com/maps/place/Piscina+Rei/data=!4m2!3m1!1s0x12e094e02444de33:0x4d1a0001efbc820d,,
Terrazza Panoramica Su Baccu Malu,,https://www.google.com/maps/place/Terrazza+Panoramica+Su+Baccu+Malu/data=!4m2!3m1!1s0x12e0b8c509846be9:0xb974738c1c88cc39,,
Punto Panoramico Su Baccu Malu,,https://www.google.com/maps/place/Punto+Panoramico+Su+Baccu+Malu/data=!4m2!3m1!1s0x12e0b8c2e64f8a1d:0xec822d6dc7fa17f,,
Bivio Punte Sette Fratelli,,https://www.google.com/maps/place/Bivio+Punte+Sette+Fratelli/data=!4m2!3m1!1s0x12e0b8c4102dcbc1:0x570edf0f1bd28102,,
Passo Sette Fratelli,,https://www.google.com/maps/place/Passo+Sette+Fratelli/data=!4m2!3m1!1s0x12e0b95193420b01:0x3aed32631c29dd,,
